4;6;2018;2;0;0;0;0;0;0;2
13;6;2018;4;0;0;0;0;0;2;3
14;6;2018;5;0;0;0;0;2;3;1
17;6;2018;1;0;0;0;2;3;1;3
18;6;2018;2;0;0;2;3;1;3;166
19;6;2018;3;0;2;3;1;3;166;219
20;6;2018;4;2;3;1;3;166;219;168
21;6;2018;5;3;1;3;166;219;168;152
22;6;2018;6;1;3;166;219;168;152;160
23;6;2018;7;3;166;219;168;152;160;13
24;6;2018;1;166;219;168;152;160;13;19
25;6;2018;2;219;168;152;160;13;19;178
26;6;2018;3;168;152;160;13;19;178;188
27;6;2018;4;152;160;13;19;178;188;153
28;6;2018;5;160;13;19;178;188;153;173
29;6;2018;6;13;19;178;188;153;173;177
30;6;2018;7;19;178;188;153;173;177;16
1;7;2018;1;178;188;153;173;177;16;18
2;7;2018;2;188;153;173;177;16;18;252
3;7;2018;3;153;173;177;16;18;252;221
4;7;2018;4;173;177;16;18;252;221;181
5;7;2018;5;177;16;18;252;221;181;180
6;7;2018;6;16;18;252;221;181;180;155
7;7;2018;7;18;252;221;181;180;155;19
8;7;2018;1;252;221;181;180;155;19;17
9;7;2018;2;221;181;180;155;19;17;198
10;7;2018;3;181;180;155;19;17;198;208
11;7;2018;4;180;155;19;17;198;208;209
12;7;2018;5;155;19;17;198;208;209;186
13;7;2018;6;19;17;198;208;209;186;184
14;7;2018;7;17;198;208;209;186;184;25
15;7;2018;1;198;208;209;186;184;25;9
16;7;2018;2;208;209;186;184;25;9;196
17;7;2018;3;209;186;184;25;9;196;241
18;7;2018;4;186;184;25;9;196;241;202
19;7;2018;5;184;25;9;196;241;202;255
20;7;2018;6;25;9;196;241;202;255;170
21;7;2018;7;9;196;241;202;255;170;18
22;7;2018;1;196;241;202;255;170;18;12
23;7;2018;2;241;202;255;170;18;12;243
24;7;2018;3;202;255;170;18;12;243;244
25;7;2018;4;255;170;18;12;243;244;175
26;7;2018;5;170;18;12;243;244;175;231
27;7;2018;6;18;12;243;244;175;231;151
28;7;2018;7;12;243;244;175;231;151;30
29;7;2018;1;243;244;175;231;151;30;15
30;7;2018;2;244;175;231;151;30;15;223
31;7;2018;3;175;231;151;30;15;223;228
1;8;2018;4;231;151;30;15;223;228;272
2;8;2018;5;151;30;15;223;228;272;218
3;8;2018;6;30;15;223;228;272;218;203
4;8;2018;7;15;223;228;272;218;203;7
5;8;2018;1;223;228;272;218;203;7;25
6;8;2018;2;228;272;218;203;7;25;249
7;8;2018;3;272;218;203;7;25;249;174
8;8;2018;4;218;203;7;25;249;174;186
9;8;2018;5;203;7;25;249;174;186;191
10;8;2018;6;7;25;249;174;186;191;159
11;8;2018;7;25;249;174;186;191;159;15
12;8;2018;1;249;174;186;191;159;15;10
13;8;2018;2;174;186;191;159;15;10;224
14;8;2018;3;186;191;159;15;10;224;204
15;8;2018;4;191;159;15;10;224;204;126
16;8;2018;5;159;15;10;224;204;126;200
17;8;2018;6;15;10;224;204;126;200;123
18;8;2018;7;10;224;204;126;200;123;35
19;8;2018;1;224;204;126;200;123;35;12
20;8;2018;2;204;126;200;123;35;12;195
21;8;2018;3;126;200;123;35;12;195;184
22;8;2018;4;200;123;35;12;195;184;191
23;8;2018;5;123;35;12;195;184;191;181
24;8;2018;6;35;12;195;184;191;181;139
25;8;2018;7;12;195;184;191;181;139;34
26;8;2018;1;195;184;191;181;139;34;12
27;8;2018;2;184;191;181;139;34;12;212
28;8;2018;3;191;181;139;34;12;212;185
29;8;2018;4;181;139;34;12;212;185;166
30;8;2018;5;139;34;12;212;185;166;173
31;8;2018;6;34;12;212;185;166;173;202
1;9;2018;7;12;212;185;166;173;202;23
2;9;2018;1;212;185;166;173;202;23;4
3;9;2018;2;185;166;173;202;23;4;226
4;9;2018;3;166;173;202;23;4;226;225
5;9;2018;4;173;202;23;4;226;225;209
6;9;2018;5;202;23;4;226;225;209;169
7;9;2018;6;23;4;226;225;209;169;156
8;9;2018;7;4;226;225;209;169;156;7
9;9;2018;1;226;225;209;169;156;7;10
10;9;2018;2;225;209;169;156;7;10;238
11;9;2018;3;209;169;156;7;10;238;210
12;9;2018;4;169;156;7;10;238;210;174
13;9;2018;5;156;7;10;238;210;174;165
14;9;2018;6;7;10;238;210;174;165;131
15;9;2018;7;10;238;210;174;165;131;15
16;9;2018;1;238;210;174;165;131;15;9
17;9;2018;2;210;174;165;131;15;9;197
18;9;2018;3;174;165;131;15;9;197;235
19;9;2018;4;165;131;15;9;197;235;261
20;9;2018;5;131;15;9;197;235;261;171
21;9;2018;6;15;9;197;235;261;171;162
22;9;2018;7;9;197;235;261;171;162;10
23;9;2018;1;197;235;261;171;162;10;14
24;9;2018;2;235;261;171;162;10;14;205
25;9;2018;3;261;171;162;10;14;205;189
26;9;2018;4;171;162;10;14;205;189;166
27;9;2018;5;162;10;14;205;189;166;189
28;9;2018;6;10;14;205;189;166;189;168
29;9;2018;7;14;205;189;166;189;168;20
30;9;2018;1;205;189;166;189;168;20;19
1;10;2018;2;189;166;189;168;20;19;213
2;10;2018;3;166;189;168;20;19;213;211
3;10;2018;4;189;168;20;19;213;211;124
4;10;2018;5;168;20;19;213;211;124;164
5;10;2018;6;20;19;213;211;124;164;137
6;10;2018;7;19;213;211;124;164;137;27
7;10;2018;1;213;211;124;164;137;27;7
8;10;2018;2;211;124;164;137;27;7;196
9;10;2018;3;124;164;137;27;7;196;193
10;10;2018;4;164;137;27;7;196;193;202
11;10;2018;5;137;27;7;196;193;202;169
12;10;2018;6;27;7;196;193;202;169;140
13;10;2018;7;7;196;193;202;169;140;12
14;10;2018;1;196;193;202;169;140;12;13
15;10;2018;2;193;202;169;140;12;13;181
16;10;2018;3;202;169;140;12;13;181;168
17;10;2018;4;169;140;12;13;181;168;190
18;10;2018;5;140;12;13;181;168;190;171
19;10;2018;6;12;13;181;168;190;171;117
20;10;2018;7;13;181;168;190;171;117;5
21;10;2018;1;181;168;190;171;117;5;5
22;10;2018;2;168;190;171;117;5;5;168
23;10;2018;3;190;171;117;5;5;168;204
24;10;2018;4;171;117;5;5;168;204;175
25;10;2018;5;117;5;5;168;204;175;182
26;10;2018;6;5;5;168;204;175;182;163
27;10;2018;7;5;168;204;175;182;163;5
28;10;2018;1;168;204;175;182;163;5;12
29;10;2018;2;204;175;182;163;5;12;233
30;10;2018;3;175;182;163;5;12;233;218
31;10;2018;4;182;163;5;12;233;218;193
1;11;2018;5;163;5;12;233;218;193;111
2;11;2018;6;5;12;233;218;193;111;143
3;11;2018;7;12;233;218;193;111;143;6
4;11;2018;1;233;218;193;111;143;6;10
5;11;2018;2;218;193;111;143;6;10;226
6;11;2018;3;193;111;143;6;10;226;191
7;11;2018;4;111;143;6;10;226;191;205
8;11;2018;5;143;6;10;226;191;205;197
9;11;2018;6;6;10;226;191;205;197;187
10;11;2018;7;10;226;191;205;197;187;10
11;11;2018;1;226;191;205;197;187;10;11
12;11;2018;2;191;205;197;187;10;11;210
13;11;2018;3;205;197;187;10;11;210;234
14;11;2018;4;197;187;10;11;210;234;217
15;11;2018;5;187;10;11;210;234;217;198
16;11;2018;6;10;11;210;234;217;198;159
17;11;2018;7;11;210;234;217;198;159;20
18;11;2018;1;210;234;217;198;159;20;10
19;11;2018;2;234;217;198;159;20;10;264
20;11;2018;3;217;198;159;20;10;264;215
21;11;2018;4;198;159;20;10;264;215;184
22;11;2018;5;159;20;10;264;215;184;173
23;11;2018;6;20;10;264;215;184;173;162
24;11;2018;7;10;264;215;184;173;162;6
25;11;2018;1;264;215;184;173;162;6;15
26;11;2018;2;215;184;173;162;6;15;225
27;11;2018;3;184;173;162;6;15;225;253
28;11;2018;4;173;162;6;15;225;253;248
29;11;2018;5;162;6;15;225;253;248;213
30;11;2018;6;6;15;225;253;248;213;202
1;12;2018;7;15;225;253;248;213;202;46
2;12;2018;1;225;253;248;213;202;46;18
3;12;2018;2;253;248;213;202;46;18;300
4;12;2018;3;248;213;202;46;18;300;283
5;12;2018;4;213;202;46;18;300;283;212
6;12;2018;5;202;46;18;300;283;212;189
7;12;2018;6;46;18;300;283;212;189;171
8;12;2018;7;18;300;283;212;189;171;28
9;12;2018;1;300;283;212;189;171;28;18
10;12;2018;2;283;212;189;171;28;18;279
11;12;2018;3;212;189;171;28;18;279;245
12;12;2018;4;189;171;28;18;279;245;228
13;12;2018;5;171;28;18;279;245;228;209
