2018-12-31;2018;2;37
2019-01-01;2019;3;22
2019-01-02;2019;4;292
2019-01-03;2019;5;239
2019-01-04;2019;6;184
2019-01-05;2019;7;14
2019-01-06;2019;1;5
2019-01-07;2019;2;270
2019-01-08;2019;3;207
2019-01-09;2019;4;215
2019-01-10;2019;5;238
2019-01-11;2019;6;190
2019-01-12;2019;7;12
2019-01-13;2019;1;6
2019-01-14;2019;2;236
2019-01-15;2019;3;248
2019-01-16;2019;4;229
2019-01-17;2019;5;229
2019-01-18;2019;6;175
2019-01-19;2019;7;2
2019-01-20;2019;1;3
2019-01-21;2019;2;217
2019-01-22;2019;3;246
2019-01-23;2019;4;191
2019-01-24;2019;5;300
2019-01-25;2019;6;197
2019-01-26;2019;7;42
2019-01-27;2019;1;22
2019-01-28;2019;2;273
2019-01-29;2019;3;218
2019-01-30;2019;4;192
2019-01-31;2019;5;207
2019-02-01;2019;6;182
2019-02-02;2019;7;17
2019-02-03;2019;1;7
2019-02-04;2019;2;193
2019-02-05;2019;3;196
2019-02-06;2019;4;210
2019-02-07;2019;5;181
2019-02-08;2019;6;164
2019-02-09;2019;7;16
2019-02-10;2019;1;5
2019-02-11;2019;2;223
2019-02-12;2019;3;216
2019-02-13;2019;4;180
2019-02-14;2019;5;158
2019-02-15;2019;6;186
2019-02-16;2019;7;5
2019-02-17;2019;1;4
2019-02-18;2019;2;222
2019-02-19;2019;3;142
2019-02-20;2019;4;185
2019-02-21;2019;5;171
2019-02-22;2019;6;144
2019-02-23;2019;7;8
2019-02-24;2019;1;8
2019-02-25;2019;2;212
2019-02-26;2019;3;222
2019-02-27;2019;4;184
2019-02-28;2019;5;169
2019-03-01;2019;6;157
2019-03-02;2019;7;15
2019-03-03;2019;1;7
2019-03-04;2019;2;173
2019-03-05;2019;3;209
2019-03-06;2019;4;191
2019-03-07;2019;5;191
2019-03-08;2019;6;170
2019-03-09;2019;7;14
2019-03-10;2019;1;34
2019-03-11;2019;2;193
2019-03-12;2019;3;180
2019-03-13;2019;4;191
2019-03-14;2019;5;228
2019-03-15;2019;6;190
2019-03-16;2019;7;7
2019-03-17;2019;1;14
2019-03-18;2019;2;188
2019-03-19;2019;3;193
2019-03-20;2019;4;188
2019-03-21;2019;5;158
2019-03-22;2019;6;160
2019-03-23;2019;7;8
2019-03-24;2019;1;25
2019-03-25;2019;2;196
2019-03-26;2019;3;192
2019-03-27;2019;4;226
2019-03-28;2019;5;175
2019-03-29;2019;6;179
2019-03-30;2019;7;20
2019-03-31;2019;1;8
2019-04-01;2019;2;218
2019-04-02;2019;3;207
2019-04-03;2019;4;200
2019-04-04;2019;5;211
2019-04-05;2019;6;182
2019-04-06;2019;7;17
2019-04-07;2019;1;4
2019-04-08;2019;2;216
2019-04-09;2019;3;177
2019-04-10;2019;4;168
2019-04-11;2019;5;193
2019-04-12;2019;6;146
2019-04-13;2019;7;13
2019-04-14;2019;1;10
2019-04-15;2019;2;197
2019-04-16;2019;3;170
2019-04-17;2019;4;174
2019-04-18;2019;5;105
2019-04-19;2019;6;89
2019-04-20;2019;7;3
2019-04-21;2019;1;3
2019-04-22;2019;2;104
2019-04-23;2019;3;180
2019-04-24;2019;4;165
2019-04-25;2019;5;139
2019-04-26;2019;6;121
2019-04-27;2019;7;7
2019-04-28;2019;1;11
2019-04-29;2019;2;200
2019-04-30;2019;3;216
2019-05-01;2019;4;49
2019-05-02;2019;5;176
2019-05-03;2019;6;150
2019-05-04;2019;7;7
2019-05-05;2019;1;18
2019-05-06;2019;2;205
2019-05-07;2019;3;184
2019-05-08;2019;4;170
2019-05-09;2019;5;165
2019-05-10;2019;6;133
2019-05-11;2019;7;9
2019-05-12;2019;1;4
2019-05-13;2019;2;223
2019-05-14;2019;3;185
2019-05-15;2019;4;205
2019-05-16;2019;5;179
2019-05-17;2019;6;168
2019-05-18;2019;7;18
2019-05-19;2019;1;10
2019-05-20;2019;2;280
2019-05-21;2019;3;207
2019-05-22;2019;4;186
2019-05-23;2019;5;140
2019-05-24;2019;6;183
2019-05-25;2019;7;11
2019-05-26;2019;1;19
2019-05-27;2019;2;190
2019-05-28;2019;3;162
2019-05-29;2019;4;224
2019-05-30;2019;5;137
2019-05-31;2019;6;155
2019-06-01;2019;7;11
2019-06-02;2019;1;25
2019-06-03;2019;2;206
2019-06-04;2019;3;198
2019-06-05;2019;4;218
2019-06-06;2019;5;215
2019-06-07;2019;6;199
2019-06-08;2019;7;10
2019-06-09;2019;1;14
2019-06-10;2019;2;106
2019-06-11;2019;3;196
2019-06-12;2019;4;153
2019-06-13;2019;5;226
2019-06-14;2019;6;190
2019-06-15;2019;7;33
2019-06-16;2019;1;20
2019-06-17;2019;2;238
2019-06-18;2019;3;288
2019-06-19;2019;4;162
2019-06-20;2019;5;180
2019-06-21;2019;6;202
2019-06-22;2019;7;10
2019-06-23;2019;1;8
2019-06-24;2019;2;234
2019-06-25;2019;3;217
2019-06-26;2019;4;269
2019-06-27;2019;5;211
2019-06-28;2019;6;162
2019-06-29;2019;7;45
