Severity;Time;HourOfDay;Host;Problem;Urgency;Assignment Group
Average;25.02.21 15:49;15;vpn;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;25.02.21 15:48;15;Webcam Gang Vorne;HTTP service is down on Webcam Gang Vorne;3 - High;Data Center Services
Average;25.02.21 15:48;15;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
Average;25.02.21 15:48;15;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;25.02.21 15:48;15;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;25.02.21 15:47;15;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;asterisk;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;Webcam Gang Vorne;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;sysmail;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;sql-server;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;15;vpn;Unavailable by ICMP ping;3 - High;Network Services
Average;25.02.21 15:46;15;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;25.02.21 15:46;15;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;25.02.21 15:45;15;DC1;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 15:39;15;DC1;Unavailable by ICMP ping;3 - High;Network Services
Average;25.02.21 15:39;15;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 15:37;15;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;15;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;15;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;15;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:37;15;FritzBox;Unavailable by ICMP ping;3 - High;Network Services
Average;25.02.21 14:48;14;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Average;25.02.21 00:41;0;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 00:38;0;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 00:38;0;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 00:38;0;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 00:38;0;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Information;25.02.21 00:16;0;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
High;25.02.21 00:11;0;px4-300d;Disk 2 status require attention: MISSING;3 - High;Data Center Services
High;25.02.21 00:11;0;px4-300d;RAID status require attention: DEGRADED;3 - High;Data Center Services
Average;23.02.21 23:13;23;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Information;23.02.21 20:01;20;px4-300d;Media service status was changed for: enabled (1);3 - High;Data Center Services
Warning;21.02.21 01:13;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
High;20.02.21 12:29;12;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Information;19.02.21 17:31;17;px4-300d;Media service status was changed for: enabled (1);3 - High;Data Center Services
Average;17.02.21 23:16;23;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;17.02.21 18:16;18;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
Average;17.02.21 18:15;18;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
High;17.02.21 18:15;18;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;17.02.21 18:14;18;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Information;17.02.21 17:41;17;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;17.02.21 16:55;16;DC1;"""MSDTC"" (Distributed Transaction Coordinator) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;17.02.21 16:55;16;DC1;"""DPS"" (Diagnoserichtliniendienst) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;17.02.21 16:54;16;DC1;"""CDPSvc"" (Plattformdienst für verbundene Geräte) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;17.02.21 16:53;16;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;17.02.21 14:43;14;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
High;17.02.21 13:55;13;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Information;13.02.21 23:01;23;px4-300d;Operational status was changed on px4-300d interface bond0;3 - High;Data Center Services
Information;13.02.21 11:50;11;px4-300d;Operational status was changed on px4-300d interface eth1;3 - High;Data Center Services
High;13.02.21 09:11;9;px4-300d;Disk 2 status require attention: MISSING;3 - High;Data Center Services
Warning;13.02.21 01:35;1;GS1900-24;Interface GigabitEthernet21( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;12.02.21 21:01;21;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;12.02.21 20:00;20;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
High;12.02.21 16:41;16;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
Information;12.02.21 16:31;16;px4-300d;Media service status was changed for: disabled (0);3 - High;Data Center Services
Information;12.02.21 11:16;11;GS1900-10HP;Interface GigabitEthernet5(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
High;12.02.21 01:21;1;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
High;11.02.21 12:31;12;px4-300d;Disk 3 status require attention: MISSING;3 - High;Data Center Services
High;11.02.21 12:31;12;px4-300d;RAID status require attention: DEGRADED;3 - High;Data Center Services
High;10.02.21 15:31;15;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
Information;10.02.21 00:31;0;px4-300d;Media service status was changed for: enabled (1);3 - High;Data Center Services
High;09.02.21 14:41;14;px4-300d;Disk 2 status require attention: MISSING;3 - High;Data Center Services
High;09.02.21 14:41;14;px4-300d;RAID status require attention: DEGRADED;3 - High;Data Center Services
Average;09.02.21 10:29;10;SSTG4400;/data/R10_2000G: Disk space is critically low (used > 90%);3 - High;Data Center Services
Average;09.02.21 05:07;5;SSTG4400;/data/R10_2000G: Disk space is critically low (used > 90%);3 - High;Data Center Services
Average;09.02.21 04:50;4;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 04:15;4;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 03:47;3;SSTG4400;/data/R10_2000G: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;09.02.21 03:38;3;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 03:24;3;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 03:00;3;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 02:48;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;09.02.21 02:40;2;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 02:28;2;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 02:14;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;09.02.21 01:55;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;09.02.21 01:33;1;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;09.02.21 00:39;0;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 00:36;0;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Average;09.02.21 00:26;0;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;09.02.21 00:04;0;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Warning;08.02.21 23:59;23;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;08.02.21 23:53;23;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;06.02.21 22:58;22;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;04.02.21 15:04;15;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.02.21 08:01;8;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;02.02.21 01:38;1;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;01.02.21 18:05;18;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;31.01.21 19:49;19;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;29.01.21 23:13;23;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;29.01.21 23:10;23;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;29.01.21 23:09;23;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;29.01.21 23:09;23;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;29.01.21 23:09;23;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;29.01.21 19:11;19;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
High;28.01.21 12:29;12;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;28.01.21 12:29;12;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;27.01.21 04:54;4;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.01.21 04:51;4;FritzBox;WAN not connected;3 - High;Data Center Services
High;27.01.21 04:51;4;FritzBox;WAN interface down;3 - High;Data Center Services
Information;27.01.21 04:51;4;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
High;27.01.21 04:50;4;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:50;4;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:50;4;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:50;4;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;27.01.21 04:20;4;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.01.21 04:18;4;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:18;4;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:18;4;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 04:18;4;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Average;27.01.21 02:42;2;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;27.01.21 02:40;2;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 02:40;2;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 02:40;2;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;27.01.21 02:40;2;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;26.01.21 19:57;19;Google DNS;High ICMP ping loss;3 - High;Network Services
Warning;26.01.21 19:57;19;Cloudflare DNS;High ICMP ping loss;3 - High;Network Services
Average;26.01.21 19:52;19;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;26.01.21 19:51;19;FritzBox;WAN not connected;3 - High;Data Center Services
High;26.01.21 19:51;19;FritzBox;WAN interface down;3 - High;Data Center Services
Information;26.01.21 19:51;19;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
High;26.01.21 19:50;19;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;26.01.21 19:50;19;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;26.01.21 19:50;19;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;26.01.21 19:50;19;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;25.01.21 15:36;15;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Warning;25.01.21 00:30;0;GS1900-24;Interface GigabitEthernet26( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.01.21 00:30;0;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.01.21 00:28;0;GS1900-10HP Gartenhaus;Interface GigabitEthernet10(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.01.21 00:28;0;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;21.01.21 18:08;18;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:08;18;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:08;18;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:08;18;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;21.01.21 18:07;18;FritzBox;Unavailable by ICMP ping;3 - High;Network Services
Warning;20.01.21 00:47;0;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;20.01.21 00:40;0;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;20.01.21 00:07;0;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 23:58;23;SSTG4400;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;19.01.21 11:45;11;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;19.01.21 11:43;11;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Information;19.01.21 11:32;11;asterisk;/etc/passwd has been changed;3 - High;Data Center Services
Warning;19.01.21 11:28;11;asterisk;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 11:28;11;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;19.01.21 01:54;1;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;19.01.21 01:50;1;sql-server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 01:47;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 01:37;1;sql-server;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;19.01.21 01:33;1;sql-server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Information;19.01.21 01:30;1;sql-server;/etc/passwd has been changed;3 - High;Data Center Services
Average;19.01.21 01:07;1;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 01:07;1;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;19.01.21 01:07;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:58;0;vpn;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;19.01.21 00:56;0;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 00:55;0;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:50;0;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;19.01.21 00:46;0;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;19.01.21 00:45;0;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Average;19.01.21 00:44;0;asterisk;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Information;19.01.21 00:43;0;vpn;/etc/passwd has been changed;3 - High;Data Center Services
Average;19.01.21 00:41;0;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Average;19.01.21 00:33;0;vpn;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;19.01.21 00:32;0;vpn;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:31;0;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.01.21 00:24;0;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Average;19.01.21 00:00;0;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;18.01.21 23:59;23;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Average;18.01.21 20:15;20;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;18.01.21 15:37;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:34;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:31;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:29;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Information;18.01.21 15:18;15;SSTG4400;/etc/passwd has been changed;3 - High;Data Center Services
Warning;18.01.21 15:14;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:11;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:08;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:05;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.01.21 15:02;15;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
High;16.01.21 20:02;20;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
High;16.01.21 19:57;19;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Average;16.01.21 15:13;15;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
High;16.01.21 11:41;11;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
Warning;16.01.21 02:08;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:57;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:32;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:18;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.01.21 01:06;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;15.01.21 15:11;15;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;15.01.21 01:53;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.01.21 01:35;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.01.21 01:14;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
High;14.01.21 03:07;3;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;14.01.21 03:07;3;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;14.01.21 02:07;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;14.01.21 01:55;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;14.01.21 01:11;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;13.01.21 21:51;21;GS1900-10HP;Interface GigabitEthernet5(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;13.01.21 13:23;13;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;13.01.21 02:02;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;13.01.21 01:14;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 18:09;18;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 17:51;17;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 16:45;16;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;12.01.21 15:07;15;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;12.01.21 11:46;11;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 09:50;9;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 05:34;5;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 02:48;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 02:15;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 01:51;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;12.01.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;11.01.21 17:45;17;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;10.01.21 00:06;0;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Average;09.01.21 00:31;0;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Average;08.01.21 14:05;14;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Warning;08.01.21 14:03;14;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;08.01.21 10:36;10;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;07.01.21 20:26;20;sysmail;Lack of available memory ( < 20M of 1.94 GB);3 - High;Data Center Services
Warning;07.01.21 20:19;20;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.01.21 15:43;15;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 15:43;15;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 15:43;15;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 15:43;15;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 15:42;15;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 15:42;15;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;11;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 11:45;11;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;11;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;11;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:45;11;vpn;vpn has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.01.21 11:30;11;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;05.01.21 11:28;11;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Average;05.01.21 11:28;11;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;05.01.21 11:28;11;DC1;"""UALSVC"" (Dienst für die Benutzerzugriffsprotokollierung) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;05.01.21 11:26;11;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.01.21 11:23;11;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Information;05.01.21 11:10;11;GS1900-24;Interface GigabitEthernet16(NAS): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.01.21 18:23;18;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;04.01.21 18:21;18;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Information;02.01.21 14:46;14;GS1900-10HP;Interface GigabitEthernet4(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;02.01.21 14:36;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;02.01.21 13:50;13;GS1900-24;Interface GigabitEthernet16(NAS): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;01.01.21 23:06;23;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
High;01.01.21 21:41;21;px4-300d;RAID status require attention: REBUILDING;3 - High;Data Center Services
Warning;01.01.21 12:40;12;GS1900-10HP;Interface GigabitEthernet5(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;01.01.21 12:17;12;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:17;12;DC1;"""UALSVC"" (Dienst für die Benutzerzugriffsprotokollierung) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:17;12;DC1;"""MSDTC"" (Distributed Transaction Coordinator) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:17;12;DC1;"""DPS"" (Diagnoserichtliniendienst) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:16;12;DC1;"""CDPSvc"" (Plattformdienst für verbundene Geräte) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:16;12;DC1;"""AzureADConnectHealthSyncMonitor"" (Azure AD Connect Health Sync Monitoring Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Average;01.01.21 12:16;12;DC1;"""AzureADConnectHealthSyncInsights"" (Azure AD Connect Health Sync Insights Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;01.01.21 12:15;12;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;01.01.21 10:00;10;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;01.01.21 08:01;8;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
