Severity;Time;HourOfDay;Host;Problem;Urgency;Assignment Group
Warning;19.03.21 01:33;1;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Warning;19.03.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 20:05;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 19:05;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 14:00;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 13:08;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 08:00;8;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 07:06;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 02:00;2;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 20:00;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 19:05;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 13:55;13;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 13:05;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 07:55;7;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 07:05;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 01:50;1;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;16.03.21 23:46;23;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;16.03.21 23:25;23;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;16.03.21 20:06;20;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 19:06;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 16:06;16;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:34;15;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:27;15;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:17;15;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:05;15;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 14:48;14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 14:32;14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 13:06;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 07:06;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 22:33;22;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 19:06;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 13:06;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 07:05;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;14.03.21 19:09;19;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;14.03.21 14:10;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;13.03.21 19:45;19;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;13.03.21 19:07;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;13.03.21 01:40;1;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;13.03.21 01:06;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;12.03.21 19:40;19;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;12.03.21 19:05;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;12.03.21 13:45;13;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;12.03.21 13:06;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;11.03.21 19:40;19;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;11.03.21 19:05;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;11.03.21 14:25;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;11.03.21 07:40;7;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;11.03.21 07:07;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;11.03.21 01:40;1;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;11.03.21 01:06;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 19:40;19;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 19:07;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 13:40;13;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 13:05;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 07:40;7;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 07:05;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 01:40;1;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 01:06;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;09.03.21 19:40;19;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;09.03.21 19:04;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;09.03.21 16:00;16;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;09.03.21 16:00;16;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.03.21 15:19;15;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;09.03.21 15:18;15;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Information;09.03.21 14:25;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;09.03.21 14:05;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;09.03.21 13:20;13;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;08.03.21 15:29;15;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;08.03.21 15:22;15;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Warning;08.03.21 14:57;14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;08.03.21 12:24;12;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;08.03.21 12:06;12;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;07.03.21 19:05;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;07.03.21 18:21;18;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;07.03.21 13:50;13;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;07.03.21 07:06;7;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 19:05;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;06.03.21 17:05;17;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Information;06.03.21 13:55;13;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;06.03.21 13:05;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 12:50;12;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;06.03.21 08:50;8;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;06.03.21 03:00;3;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;06.03.21 02:28;2;DC1;CPU privileged time is too high (over 30% for 5m);2 - Medium;Data Center Services
Warning;06.03.21 02:26;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 02:09;2;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 01:57;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 01:14;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 01:05;1;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;05.03.21 21:34;21;GitLab Contabo;/etc/passwd has been changed;3 - High;Data Center Services
Information;05.03.21 20:55;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;05.03.21 20:55;20;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.03.21 19:40;19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;05.03.21 18:20;18;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;05.03.21 18:20;18;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.03.21 18:01;18;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Average;05.03.21 16:43;16;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;05.03.21 16:20;16;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;05.03.21 15:27;15;GitLab Contabo;BWC Contabo has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;05.03.21 15:26;15;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Information;05.03.21 14:25;14;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;05.03.21 14:09;14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;05.03.21 13:27;13;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.03.21 13:19;13;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;05.03.21 12:44;12;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;05.03.21 11:30;11;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;05.03.21 10:24;10;SSTG4400;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Information;05.03.21 08:25;8;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;05.03.21 02:25;2;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;05.03.21 01:47;1;vpn;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;05.03.21 00:46;0;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.03.21 20:53;20;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;04.03.21 20:39;20;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;04.03.21 20:35;20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;04.03.21 20:33;20;SSTG4400;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;04.03.21 20:27;20;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;04.03.21 19:27;19;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;04.03.21 19:27;19;Zabbix server;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
